solID,perfQ,#changes,pas,reliability
10,-0.11764705882352941,6.37,1.0,-0.5272448505627285
14,-0.2387546881217562,9.27,1.0,-0.6546605768614167
21,-0.11764705882352941,6.37,1.0,-0.5272448505627285
60,-0.22288759604224384,9.27,0.0,-0.6534547015459473
68,-0.11764705882352941,6.37,1.0,-0.5272448505627285
69,-0.11764705882352941,6.37,1.0,-0.5272448505627285
72,-0.11764705882352941,6.37,1.0,-0.5272448505627285
80,-0.11764705882352941,6.37,1.0,-0.5272448505627285
84,-0.11764705882352941,6.37,1.0,-0.5272448505627285
85,-0.05866966075692887,6.56,1.0,-0.6591244806077715
89,-0.11764705882352941,6.37,1.0,-0.5272448505627285
93,-0.11764705882352941,6.37,1.0,-0.5272448505627285
96,-0.11764705882352941,6.37,1.0,-0.5272448505627285
97,-0.11764705882352941,6.37,1.0,-0.5272448505627285
112,-0.11764705882352941,6.37,1.0,-0.5272448505627285
170,-0.17310381248377288,16.35,1.0,-0.7886953206077715
