solID,perfQ,#changes,pas,reliability
686,-0.1903232218704903,13.349999999999998,1.0,-0.55234759
687,-0.11764713782184655,9.05,1.0,-0.8465975606077715
689,-0.11764713782184655,9.05,1.0,-0.8465975606077715
697,-0.04921014065365174,10.29,0.0,-0.587942292045043
716,-0.20906351273728116,24.240000000000002,0.0,-0.3096176505627285
717,-0.04921014065365174,10.29,0.0,-0.587942292045043
724,-0.11764713782184655,9.05,1.0,-0.8465975606077715
728,-0.04921014065365174,10.29,0.0,-0.587942292045043
746,-0.004239202736956418,10.29,0.0,-0.6622420335909902
772,0.009086657017907398,10.29,0.0,-0.7915557606077714
1006,-0.11764713782184655,9.05,1.0,-0.8465975606077715
1010,-0.04921014065365174,10.29,0.0,-0.587942292045043
1011,-0.04921014065365174,10.29,0.0,-0.587942292045043
1144,-0.004239202736956418,10.29,0.0,-0.6622420335909902
1251,-0.11761723595125251,6.59,1.0,-0.8465975606077715
1254,0.009086657017907398,10.29,0.0,-0.7915557606077714
