solID,perfQ,#changes,pas,reliability
11,-0.22032755085796868,10.82,12.0,-0.05288314781773684
34,-0.04900330426096937,5.99,12.0,-0.8200079662074206
56,-0.19258894684030678,9.149999999999999,13.0,-0.2813755870007612
60,-0.07734622168392631,9.94,11.0,-0.5091171770925151
90,-0.19950146458127477,10.82,8.0,-0.02949938190787771
100,-0.14158345756029694,5.8999999999999995,13.0,-0.016198400242582234
106,-0.09284891788589568,8.58,12.0,-0.8369970671507231
110,-0.1677380343232324,15.08,11.0,-0.4270321720917808
116,-0.17238046176905292,15.39,4.0,-0.8297207654281117
124,-0.12084314765290184,7.0,12.0,-0.8200079662074206
136,-0.17535892817388146,15.87,7.0,-0.5957161210018016
140,-0.14666580058901307,7.35,12.0,-0.8332620874193062
142,-0.14045248381638967,12.079999999999998,5.0,-0.502458598355478
144,-0.18371642835356689,10.95,12.0,-0.8189340127917761
152,-0.19950146458127477,10.82,8.0,-0.02949938190787771
156,-0.22032755085796868,10.82,12.0,-0.05288314781773684
