solID,operation,target,to,where
36,Move_Component_New_Node,Reporting,New-Node_acsousovfh,
36,UMLCloneNode,BarCodeScanner,BarCodeScanner_rtaweqkdqf,
36,UMLCloneNode,CashDeskPC,CashDeskPC_jgrywwapnt,
36,UMLCloneNode,New-Node_qymrilbyqt,New-Node_qymrilbyqt_nfduqozkii,
46,Move_Component_New_Node,CashDeskApplication,New-Node_dufgknrbhy,
46,Move_Operation_New_Component_New_Node,getTransaction,New-Component_pfzuzwwvzs,New-Node_huqtmkjfrp
46,UMLCloneNode,New-Node_dufgknrbhy,New-Node_dufgknrbhy_dtsdeobykw,
46,UMLCloneNode,BarCodeScanner,BarCodeScanner_gqxhpzkbdr,
66,Move_Component_New_Node,CashBoxController,New-Node_godbnvvcon,
66,UMLCloneNode,BarCodeScanner,BarCodeScanner_umfrhffeut,
66,Move_Operation_New_Component_New_Node,getTransaction,New-Component_yoewaummvm,New-Node_yqzrwczboh
66,UMLCloneNode,CashDeskPC,CashDeskPC_ppngmedvdw,
84,Move_Operation_New_Component_New_Node,startSale,New-Component_kgqlcyfvho,New-Node_sfxlqbpody
84,Move_Component_New_Node,DataStore,New-Node_ufcfseojkc,
84,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_jxufkdpgit,New-Node_sgzpgcbjyu
84,Move_Operation_Component,getEnterpriseByID,Persistence,
90,Move_Operation_Component,getTransaction,GUIReporting,
90,UMLCloneNode,StoreServer,StoreServer_hmgzcflakq,
90,UMLCloneNode,EnterpriseServer,EnterpriseServer_oitpukdiac,
90,Move_Operation_New_Component_New_Node,startSale,New-Component_fzrjnpncfg,New-Node_heazvcytbz
94,Move_Component_New_Node,Inventory,New-Node_olamzzokpd,
94,Move_Operation_Component,queryStockItem,CashBoxController,
94,Move_Operation_New_Component_New_Node,scanProduct,New-Component_abxhnzgbgz,New-Node_btfllynyrd
94,UMLCloneNode,New-Node_bseyemgslh,New-Node_bseyemgslh_sjremyemxf,
98,Move_Operation_New_Component_New_Node,stopSale,New-Component_vbxjaqbhot,New-Node_tqvpcqxizr
98,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_qwojjquweh,New-Node_mcrwuzzwos
98,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_zfpatfcsdx,New-Node_wepxlsiyxa
98,Move_Operation_Component,saleStartedEvent,GUIStore,
102,UMLCloneNode,EnterpriseServer,EnterpriseServer_xaxkdweuzk,
102,Move_Operation_Component,printRunningTotal,GUIReporting,
102,Move_Component_New_Node,Enterprise,New-Node_kdoyfpbpha,
102,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_jdpgvjpwtl,New-Node_cxiqiqavpi
118,UMLCloneNode,StoreServer,StoreServer_rtxkfulnjz,
118,Move_Operation_Component,queryStockItem,CashDeskApplication,
118,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_jgaeosubjn,New-Node_pmdfvxdcxt
118,UMLCloneNode,New-Node_pmdfvxdcxt,New-Node_pmdfvxdcxt_zedoryevaw,
122,UMLCloneNode,EnterpriseServer,EnterpriseServer_pjcyrdofdn,
122,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_vmpzmybpmu,New-Node_kitejenxcq
122,Move_Operation_Component,queryOrderById,Enterprise,
122,Move_Operation_New_Component_New_Node,getTransaction,New-Component_hwevxpmygf,New-Node_pastzenibf
126,Move_Operation_Component,getMeanTimeToDelivery,ScannerController,
126,UMLCloneNode,EnterpriseServer,EnterpriseServer_fnhyqnsuqp,
126,Move_Component_New_Node,ScannerController,New-Node_ejjvbxutjh,
126,UMLCloneNode,New-Node_ejjvbxutjh,New-Node_ejjvbxutjh_qccnqeqicz,
132,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_uqpynzpgzp,New-Node_qeqvjqvwkn
132,UMLCloneNode,BarCodeScanner,BarCodeScanner_rtaweqkdqf,
132,UMLCloneNode,CashDeskPC,CashDeskPC_jgrywwapnt,
132,UMLCloneNode,New-Node_qymrilbyqt,New-Node_qymrilbyqt_nfduqozkii,
136,Move_Component_New_Node,DataStore,New-Node_lhyplvedub,
136,Move_Operation_Component,queryStockItem,CashBoxController,
136,Move_Operation_New_Component_New_Node,scanProduct,New-Component_abxhnzgbgz,New-Node_btfllynyrd
136,UMLCloneNode,New-Node_bseyemgslh,New-Node_bseyemgslh_sjremyemxf,
140,Move_Operation_New_Component_New_Node,stopSale,New-Component_vbxjaqbhot,New-Node_tqvpcqxizr
140,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_qwojjquweh,New-Node_mcrwuzzwos
140,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_zfpatfcsdx,New-Node_wepxlsiyxa
140,Move_Operation_Component,saleStartedEvent,GUIStore,
148,Move_Component_New_Node,CashDeskApplication,New-Node_dufgknrbhy,
148,Move_Operation_New_Component_New_Node,getTransaction,New-Component_pfzuzwwvzs,New-Node_huqtmkjfrp
148,UMLCloneNode,New-Node_dufgknrbhy,New-Node_dufgknrbhy_dtsdeobykw,
148,UMLCloneNode,BarCodeScanner,BarCodeScanner_gqxhpzkbdr,
152,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_rbqhqtcnmp,New-Node_douvrxjvzz
152,Move_Operation_Component,queryStockItem,CashDeskApplication,
152,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_jgaeosubjn,New-Node_pmdfvxdcxt
152,UMLCloneNode,New-Node_pmdfvxdcxt,New-Node_pmdfvxdcxt_zedoryevaw,
