solID,perfQ,#changes,pas,reliability
2538,-0.2124021699366192,7.0,1.0,-0.6286208505627285
2672,-0.15191012750969404,6.5,0.0,-0.6568669105627285
2698,-0.11764560918807013,4.54,1.0,-0.8471106006077714
2712,-0.057162227619281025,6.5,0.0,-0.8465975606077715
2720,-0.15357864052485448,5.55,1.0,-0.5272448505627285
2724,-0.15191012750969404,6.5,0.0,-0.6568669105627285
2738,-0.15357864052485448,5.55,1.0,-0.5272448505627285
2742,-0.17647058823529413,10.28,1.0,-0.7086863500450429
2746,-0.2124021699366192,7.0,1.0,-0.6286208505627285
2752,-0.11764705882352941,9.149999999999999,1.0,-0.7875468106077714
2754,-0.11765491857599096,9.149999999999999,1.0,-0.709834860045043
2758,-0.11597830628593202,6.5,0.0,-0.7086863500450429
2762,-0.17480250699818395,10.469999999999999,0.0,-0.584182226920043
2766,-0.11764705882352941,9.149999999999999,1.0,-0.7875468106077714
2772,-0.17480250699818395,10.469999999999999,0.0,-0.584182226920043
2776,-0.11764560918807013,4.54,1.0,-0.8471106006077714
