solID,perfQ,#changes,pas,reliability
186,-0.18865413370005812,19.630000000000003,1.0,-0.6533640315909902
198,-0.18865413370005812,19.630000000000003,1.0,-0.6533640315909902
336,-0.21240173815856891,18.62,0.0,-0.5272448505627285
366,-0.14396455993369547,4.54,1.0,-0.710559276045043
378,-0.1903232218704903,10.28,1.0,-0.5234761315459473
386,-0.11739951726449294,8.01,2.0,-0.7911223606077715
398,-0.11764705882352941,7.819999999999999,1.0,-0.7875468106077714
402,-0.17647058823529413,8.83,1.0,-0.7875468106077714
406,-0.2124021699366192,15.15,1.0,-0.6286208505627285
414,-0.21240173815856891,18.62,0.0,-0.5272448505627285
418,-0.14396455993369547,4.54,1.0,-0.710559276045043
430,-0.1903232218704903,10.28,1.0,-0.5234761315459473
436,-0.11640490092330202,7.0,0.0,-0.5207108505627285
438,-0.2124021699366192,15.15,1.0,-0.6286208505627285
440,-0.11764705882352941,7.819999999999999,1.0,-0.7875468106077714
452,-0.11739951726449294,8.01,2.0,-0.7911223606077715
