problem_name,q_indicator,value
pesa2-train-ticket-bytime-900000,SPREAD,0.6862635512993668
pesa2-train-ticket-bytime-900000,IGD+,0.15814136116589078
pesa2-train-ticket-bytime-900000,IGD,0.12790139774555961
pesa2-train-ticket-bytime-900000,EP,0.36215820452321823
pesa2-train-ticket-bytime-900000,HV,0.3338777070693272
pesa2-train-ticket-bytime-900000,GSPREAD,0.695550256555806
pesa2-train-ticket-bytime-900000,SPREAD,0.6862635512993668
pesa2-train-ticket-bytime-900000,IGD+,0.15814136116589078
pesa2-train-ticket-bytime-900000,IGD,0.12790139774555961
pesa2-train-ticket-bytime-900000,EP,0.36215820452321823
pesa2-train-ticket-bytime-900000,HV,0.3338777070693272
pesa2-train-ticket-bytime-900000,GSPREAD,0.695550256555806
pesa2-train-ticket-bytime-900000,SPREAD,0.6862635512993668
pesa2-train-ticket-bytime-900000,IGD+,0.15814136116589078
pesa2-train-ticket-bytime-900000,IGD,0.12790139774555961
pesa2-train-ticket-bytime-900000,EP,0.36215820452321823
pesa2-train-ticket-bytime-900000,HV,0.3338777070693272
pesa2-train-ticket-bytime-900000,GSPREAD,0.695550256555806
pesa2-train-ticket-bytime-900000,SPREAD,0.6862635512993668
pesa2-train-ticket-bytime-900000,IGD+,0.15814136116589078
pesa2-train-ticket-bytime-900000,IGD,0.12790139774555961
pesa2-train-ticket-bytime-900000,EP,0.36215820452321823
pesa2-train-ticket-bytime-900000,HV,0.3338777070693272
pesa2-train-ticket-bytime-900000,GSPREAD,0.695550256555806
pesa2-train-ticket-bytime-900000,SPREAD,0.6862635512993668
pesa2-train-ticket-bytime-900000,IGD+,0.15814136116589078
pesa2-train-ticket-bytime-900000,IGD,0.12790139774555961
pesa2-train-ticket-bytime-900000,EP,0.36215820452321823
pesa2-train-ticket-bytime-900000,HV,0.3338777070693272
pesa2-train-ticket-bytime-900000,GSPREAD,0.695550256555806
pesa2-train-ticket-bytime-900000,SPREAD,0.6862635512993668
pesa2-train-ticket-bytime-900000,IGD+,0.15814136116589078
pesa2-train-ticket-bytime-900000,IGD,0.12790139774555961
pesa2-train-ticket-bytime-900000,EP,0.36215820452321823
pesa2-train-ticket-bytime-900000,HV,0.3338777070693272
pesa2-train-ticket-bytime-900000,GSPREAD,0.695550256555806
pesa2-train-ticket-bytime-900000,SPREAD,0.6772684951404279
pesa2-train-ticket-bytime-900000,IGD+,0.036774814919210176
pesa2-train-ticket-bytime-900000,IGD,0.4613861347245511
pesa2-train-ticket-bytime-900000,EP,0.18350780100822
pesa2-train-ticket-bytime-900000,HV,0.6718085625242609
pesa2-train-ticket-bytime-900000,GSPREAD,0.8461571839559124
pesa2-train-ticket-bytime-900000,SPREAD,0.6772684951404279
pesa2-train-ticket-bytime-900000,IGD+,0.036774814919210176
pesa2-train-ticket-bytime-900000,IGD,0.4613861347245511
pesa2-train-ticket-bytime-900000,EP,0.18350780100822
pesa2-train-ticket-bytime-900000,HV,0.6718085625242609
pesa2-train-ticket-bytime-900000,GSPREAD,0.8461571839559124
pesa2-train-ticket-bytime-900000,SPREAD,0.6772684951404279
pesa2-train-ticket-bytime-900000,IGD+,0.036774814919210176
pesa2-train-ticket-bytime-900000,IGD,0.4613861347245511
pesa2-train-ticket-bytime-900000,EP,0.18350780100822
pesa2-train-ticket-bytime-900000,HV,0.6718085625242609
pesa2-train-ticket-bytime-900000,GSPREAD,0.8461571839559124
pesa2-train-ticket-bytime-900000,SPREAD,0.6772684951404279
pesa2-train-ticket-bytime-900000,IGD+,0.036774814919210176
pesa2-train-ticket-bytime-900000,IGD,0.4613861347245511
pesa2-train-ticket-bytime-900000,EP,0.18350780100822
pesa2-train-ticket-bytime-900000,HV,0.6718085625242609
pesa2-train-ticket-bytime-900000,GSPREAD,0.8461571839559124
pesa2-train-ticket-bytime-900000,SPREAD,0.6772684951404279
pesa2-train-ticket-bytime-900000,IGD+,0.036774814919210176
pesa2-train-ticket-bytime-900000,IGD,0.4613861347245511
pesa2-train-ticket-bytime-900000,EP,0.18350780100822
pesa2-train-ticket-bytime-900000,HV,0.6718085625242609
pesa2-train-ticket-bytime-900000,GSPREAD,0.8461571839559124
pesa2-train-ticket-bytime-900000,SPREAD,0.6772684951404279
pesa2-train-ticket-bytime-900000,IGD+,0.036774814919210176
pesa2-train-ticket-bytime-900000,IGD,0.4613861347245511
pesa2-train-ticket-bytime-900000,EP,0.18350780100822
pesa2-train-ticket-bytime-900000,HV,0.6718085625242609
pesa2-train-ticket-bytime-900000,GSPREAD,0.8461571839559124
