solID,operation,target,to,where
0,Move_Operation_Component,printRunningTotal,GUIReporting,
0,UMLCloneNode,LightDisplay,LightDisplay_xksrsarrxs,
0,UMLCloneNode,Printer,Printer_ksqpsnrbei,
0,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_yvdkevoeos,New-Node_aoxiashgkb
1,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_nzwcgdzlbz,New-Node_erxvhmrutb
1,Move_Component_New_Node,Inventory,New-Node_weazpdrcnb,
1,Move_Operation_New_Component_New_Node,createReport,New-Component_loaujwofcb,New-Node_uxnbxukoki
1,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_vogvismyzt,New-Node_fbzmmdbmgn
2,Move_Component_New_Node,CashDeskGUI,New-Node_cwhbirrdtc,
2,Move_Operation_Component,getTransaction,Persistence,
2,Move_Operation_New_Component_New_Node,stopSale,New-Component_tkzozgetle,New-Node_arabczdthr
2,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_tdkdpkvyyn,New-Node_xrshrpcdal
3,UMLCloneNode,LightDisplay,LightDisplay_teybtoebty,
3,Move_Component_New_Node,CashDeskApplication,New-Node_lksoqvseyo,
3,UMLCloneNode,Printer,Printer_rjqolirzla,
3,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_qotmjkbxox,New-Node_knxqckvjnm
4,UMLCloneNode,BarCodeScanner,BarCodeScanner_nlkrdwcxyh,
4,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_okspxkhopp,New-Node_ooadctxrhq
4,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_oabbhgfckj,New-Node_cnqoswpgxx
4,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_mfjtnkkbxf,New-Node_yjicikswlc
5,UMLCloneNode,EnterpriseServer,EnterpriseServer_kbtyppjhfm,
5,Move_Operation_Component,queryOrderById,PrinterController,
5,Move_Operation_New_Component_New_Node,stopSale,New-Component_eecfuqocjf,New-Node_akqumfntzp
5,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_gtxudyezsc,New-Node_yqgvwxzjbp
6,Move_Operation_Component,createReport,Inventory,
6,Move_Operation_Component,createReport,AppStore,
6,Move_Operation_Component,getMeanTimeToDelivery,ScannerController,
6,UMLCloneNode,CashDeskPC,CashDeskPC_zpiaixjhcv,
7,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jtairudtfj,New-Node_oaagcpkugx
7,Move_Component_New_Node,Persistence,New-Node_bkxgdeorqc,
7,Move_Operation_Component,getMeanTimeToDelivery,PrinterController,
7,Move_Component_New_Node,CashDeskApplication,New-Node_evvzgkskqu,
