solID,perfQ,#changes,pas,reliability
2040,-0.2967964495727179,11.479999999999999,12.0,-0.7632442989677439
2048,-0.2749279951785882,11.23,12.0,-0.22472636937594603
2049,-0.2746498688462342,6.88,10.0,-0.38653173017725506
2052,0.010211841608020744,10.82,6.0,-0.7805395522583279
2059,-0.025165356303458543,10.0,16.0,-0.861852312791501
2061,-0.050869959911762005,7.35,6.0,-0.7765386988255587
2062,-0.13647994955130477,10.76,8.0,-0.4793746746618316
2064,-0.21335878631885044,6.369999999999999,6.0,-0.22219664276209553
2065,0.035110197167335454,7.04,9.0,-0.8157409813351775
2071,-0.07502084048468582,6.85,8.0,-0.7004805814539381
2072,-0.23280804392708082,10.25,12.0,-0.7612960049603651
2075,-0.003933084531169291,15.740000000000002,7.0,-0.8617950779651198
2078,-0.22998785853148496,11.58,11.0,-0.813075152294689
2090,-0.35996242484903224,10.600000000000001,8.0,-0.0626076579697845
2091,-0.22546956201364998,8.01,13.0,-0.751408907361695
2093,0.058421226454378986,9.78,4.0,-0.8748080738946427
2098,-0.09988659394660361,8.3,8.0,-0.7877873011110336
2100,-0.011815143375556308,9.09,12.0,-0.8210044866649415
2104,-0.31633001728392085,14.950000000000001,5.0,-0.7430165899352226
2109,-0.1039951910432702,7.54,13.0,-0.5241226450972443
2111,-0.11557100979760751,8.33,9.0,-0.4940071462720638
2114,-0.23951679519380134,13.28,4.0,-0.8205371046567316
2116,-0.011314930201123898,8.8,12.0,-0.81973357658136
2126,-0.007566869758669948,6.88,3.0,-0.5224904886754247
2127,-0.026077637230765192,10.25,9.0,-0.881400971287464
2134,-0.15404099058526036,7.57,12.0,-0.5542036078854846
2136,-0.010723115173356891,9.24,12.0,-0.8214943527404567
2140,-0.02812522229839648,6.18,8.0,-0.7648609173374941
