solID,perfQ,#changes,pas,reliability
1,-0.1448487352402321,11.48,5.0,-0.763631068532368
2,-0.12132681581738723,11.42,12.0,-0.5218499992341787
3,-0.19331322135771473,10.76,13.0,-0.7749639709874887
10,-0.1167882160122765,7.35,12.0,-0.8552442061478024
50,-0.1167882160122765,7.35,12.0,-0.8552442061478024
80,-0.19331322135771473,10.76,13.0,-0.7749639709874887
100,-0.1167882160122765,7.35,12.0,-0.8552442061478024
130,-0.19932547817677973,11.92,9.0,-0.763332109164794
134,-0.2744931636271644,11.73,9.0,-0.5264012552677634
138,-0.2744931636271644,11.73,9.0,-0.5264012552677634
148,-0.21666232371970984,11.42,12.0,-0.7598406294885458
152,-0.21288862511254145,11.73,9.0,-0.7627074454157418
160,-0.19331322135771473,10.76,13.0,-0.7749639709874887
172,-0.1167882160122765,7.35,12.0,-0.8552442061478024
180,-0.19331322135771473,10.76,13.0,-0.7749639709874887
188,-0.11784579143996796,7.35,14.0,-0.8848434761873671
