solID,perfQ,#changes,pas,reliability
0,-0.19599984416428562,14.16,5.0,-0.8334268044062233
6,-0.13434791648113414,6.34,12.0,-0.03347379706342968
7,-0.09997803789840101,10.16,10.0,-0.8102557906282462
8,-0.19414313114095277,9.149999999999999,14.0,-0.7192637969362792
15,-0.24722288741765755,14.07,7.0,-0.7304182660859426
20,-0.1538203390954089,9.15,12.0,-0.7310853332376195
36,-0.19414313114095277,9.149999999999999,14.0,-0.7192637969362793
52,-0.03608622891679523,6.5,12.0,-0.8263475566698578
56,-0.2138256873159329,10.469999999999999,12.0,-0.035512178828963736
86,-0.2138256873159329,10.469999999999999,12.0,-0.03551217882896379
94,-0.2138256873159329,10.469999999999999,12.0,-0.035512178828963736
98,-0.17227775221300592,9.969999999999999,14.0,-0.7554497507242561
102,-0.1538203390954089,9.15,12.0,-0.7310853332376195
110,-0.24722288741765755,14.07,7.0,-0.7304182660859426
118,-0.26066244560334295,13.940000000000001,9.0,-0.7608419783708348
130,-0.2138256873159329,10.469999999999999,12.0,-0.03551217882896385
