solID,operation,target,to,where
1,Move_Component_New_Node,DataStore,New-Node_qbelofsamb,
1,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_jfkoucgohu,New-Node_ezymlyasfb
1,UMLCloneNode,New-Node_qbelofsamb,New-Node_qbelofsamb_qtrivelgqg,
1,Move_Operation_Component,stopSale,Inventory,
4,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ixikxzjfzq,New-Node_uhnqtsfrjv
4,Move_Operation_Component,getTransactionContext,GUIStore,
4,UMLCloneNode,New-Node_uhnqtsfrjv,New-Node_uhnqtsfrjv_imlghenhot,
4,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_czkslzpyjv,New-Node_owpbaycwgp
6,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_uwawpigxxa,New-Node_znpsskkafk
6,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_jpkiyiicdb,New-Node_crtiasmchb
6,Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,
6,UMLCloneNode,EnterpriseClient,EnterpriseClient_pfqeolzbuz,
7,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_ytdefjsyfg,New-Node_qfdujdbysj
7,Move_Operation_Component,enterOrderID,GUIReporting,
7,UMLCloneNode,CashDeskPC,CashDeskPC_rrtrofgwhh,
7,Move_Component_New_Node,Reporting,New-Node_sldmmfpefx,
11,Move_Component_New_Node,Reporting,New-Node_tnrjxtsmms,
11,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_zeojyxipqv,New-Node_mldfqaoovq
11,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_hwhthfysfg,New-Node_obfmsokcsg
11,UMLCloneNode,LightDisplay,LightDisplay_qosqursmcn,
18,UMLCloneNode,LightDisplay,LightDisplay_cghtvrbsmj,
18,UMLCloneNode,EnterpriseClient,EnterpriseClient_xizjzzears,
18,Move_Operation_Component,getTransaction,Enterprise,
18,Move_Component_New_Node,Inventory,New-Node_udeufozpbb,
22,UMLCloneNode,LightDisplay,LightDisplay_cghtvrbsmj,
22,UMLCloneNode,EnterpriseClient,EnterpriseClient_xizjzzears,
22,Move_Operation_Component,getTransaction,Enterprise,
22,Move_Component_New_Node,Inventory,New-Node_udeufozpbb,
13,UMLCloneNode,CashDeskPC,CashDeskPC_wolmfbnkzk,
13,Move_Component_New_Node,Inventory,New-Node_npaslmvcbn,
13,UMLCloneNode,CashDeskPC,CashDeskPC_zbbkvebids,
13,Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,
74,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_mtmzsqjeos,New-Node_lqdnvlhhhy
74,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_jfkoucgohu,New-Node_ezymlyasfb
74,UMLCloneNode,New-Node_qbelofsamb,New-Node_qbelofsamb_qtrivelgqg,
74,Move_Operation_Component,stopSale,Inventory,
78,UMLCloneNode,Printer,Printer_qguvpcaxsk,
78,Move_Operation_Component,enterOrderID,GUIReporting,
78,UMLCloneNode,CashDeskPC,CashDeskPC_rrtrofgwhh,
78,Move_Component_New_Node,Reporting,New-Node_sldmmfpefx,
82,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ixikxzjfzq,New-Node_uhnqtsfrjv
82,Move_Operation_Component,getTransactionContext,GUIStore,
82,UMLCloneNode,New-Node_uhnqtsfrjv,New-Node_uhnqtsfrjv_imlghenhot,
82,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_czkslzpyjv,New-Node_owpbaycwgp
86,UMLCloneNode,EnterpriseServer,EnterpriseServer_idgvcuxbxv,
86,Move_Operation_Component,enterOrderID,GUIReporting,
86,UMLCloneNode,CashDeskPC,CashDeskPC_rrtrofgwhh,
86,Move_Component_New_Node,Reporting,New-Node_sldmmfpefx,
94,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_tcxvrnieiy,New-Node_kidczvjymn
94,UMLCloneNode,New-Node_kidczvjymn,New-Node_kidczvjymn_uzjmiqkgfh,
94,UMLCloneNode,New-Node_kidczvjymn_uzjmiqkgfh,New-Node_kidczvjymn_uzjmiqkgfh_kfzecnuspb,
94,UMLCloneNode,EnterpriseClient,EnterpriseClient_nnddwwycrc,
106,Move_Operation_Component,getMeanTimeToDelivery,PrinterController,
106,UMLCloneNode,New-Node_kidczvjymn,New-Node_kidczvjymn_uzjmiqkgfh,
106,UMLCloneNode,New-Node_kidczvjymn_uzjmiqkgfh,New-Node_kidczvjymn_uzjmiqkgfh_kfzecnuspb,
106,UMLCloneNode,EnterpriseClient,EnterpriseClient_nnddwwycrc,
110,UMLCloneNode,CashDeskPC,CashDeskPC_wolmfbnkzk,
110,Move_Component_New_Node,Inventory,New-Node_npaslmvcbn,
110,UMLCloneNode,CashDeskPC,CashDeskPC_zbbkvebids,
110,UMLCloneNode,LightDisplay,LightDisplay_pafqqwrtae,
126,Move_Operation_Component,queryOrderById,Persistence,
126,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_zeojyxipqv,New-Node_mldfqaoovq
126,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_hwhthfysfg,New-Node_obfmsokcsg
126,UMLCloneNode,LightDisplay,LightDisplay_qosqursmcn,
