problem_name,q_indicator,value
spea2-train-ticket-bytime-3600000,SPREAD,0.6268625187347489
spea2-train-ticket-bytime-3600000,IGD+,0.17787217116347787
spea2-train-ticket-bytime-3600000,IGD,0.12518517235047438
spea2-train-ticket-bytime-3600000,EP,0.4300698761721562
spea2-train-ticket-bytime-3600000,HV,0.3274255566637544
spea2-train-ticket-bytime-3600000,GSPREAD,0.6456195413055587
spea2-train-ticket-bytime-3600000,SPREAD,0.6268625187347489
spea2-train-ticket-bytime-3600000,IGD+,0.17787217116347787
spea2-train-ticket-bytime-3600000,IGD,0.12518517235047438
spea2-train-ticket-bytime-3600000,EP,0.4300698761721562
spea2-train-ticket-bytime-3600000,HV,0.3274255566637544
spea2-train-ticket-bytime-3600000,GSPREAD,0.6456195413055587
spea2-train-ticket-bytime-3600000,SPREAD,0.6268625187347489
spea2-train-ticket-bytime-3600000,IGD+,0.17787217116347787
spea2-train-ticket-bytime-3600000,IGD,0.12518517235047438
spea2-train-ticket-bytime-3600000,EP,0.4300698761721562
spea2-train-ticket-bytime-3600000,HV,0.3274255566637544
spea2-train-ticket-bytime-3600000,GSPREAD,0.6456195413055587
spea2-train-ticket-bytime-3600000,SPREAD,0.6268625187347489
spea2-train-ticket-bytime-3600000,IGD+,0.17787217116347787
spea2-train-ticket-bytime-3600000,IGD,0.12518517235047438
spea2-train-ticket-bytime-3600000,EP,0.4300698761721562
spea2-train-ticket-bytime-3600000,HV,0.3274255566637544
spea2-train-ticket-bytime-3600000,GSPREAD,0.6456195413055587
spea2-train-ticket-bytime-3600000,SPREAD,0.6268625187347489
spea2-train-ticket-bytime-3600000,IGD+,0.17787217116347787
spea2-train-ticket-bytime-3600000,IGD,0.12518517235047438
spea2-train-ticket-bytime-3600000,EP,0.4300698761721562
spea2-train-ticket-bytime-3600000,HV,0.3274255566637544
spea2-train-ticket-bytime-3600000,GSPREAD,0.6456195413055587
spea2-train-ticket-bytime-3600000,SPREAD,0.6268625187347489
spea2-train-ticket-bytime-3600000,IGD+,0.17787217116347787
spea2-train-ticket-bytime-3600000,IGD,0.12518517235047438
spea2-train-ticket-bytime-3600000,EP,0.4300698761721562
spea2-train-ticket-bytime-3600000,HV,0.3274255566637544
spea2-train-ticket-bytime-3600000,GSPREAD,0.6456195413055587
spea2-train-ticket-bytime-3600000,SPREAD,0.5975763590495573
spea2-train-ticket-bytime-3600000,IGD+,0.050037579250772964
spea2-train-ticket-bytime-3600000,IGD,0.438825917119889
spea2-train-ticket-bytime-3600000,EP,0.1994047619047619
spea2-train-ticket-bytime-3600000,HV,0.6273498284180345
spea2-train-ticket-bytime-3600000,GSPREAD,0.8156315342548687
spea2-train-ticket-bytime-3600000,SPREAD,0.5975763590495573
spea2-train-ticket-bytime-3600000,IGD+,0.050037579250772964
spea2-train-ticket-bytime-3600000,IGD,0.438825917119889
spea2-train-ticket-bytime-3600000,EP,0.1994047619047619
spea2-train-ticket-bytime-3600000,HV,0.6273498284180345
spea2-train-ticket-bytime-3600000,GSPREAD,0.8156315342548687
spea2-train-ticket-bytime-3600000,SPREAD,0.5975763590495573
spea2-train-ticket-bytime-3600000,IGD+,0.050037579250772964
spea2-train-ticket-bytime-3600000,IGD,0.438825917119889
spea2-train-ticket-bytime-3600000,EP,0.1994047619047619
spea2-train-ticket-bytime-3600000,HV,0.6273498284180345
spea2-train-ticket-bytime-3600000,GSPREAD,0.8156315342548687
spea2-train-ticket-bytime-3600000,SPREAD,0.5975763590495573
spea2-train-ticket-bytime-3600000,IGD+,0.050037579250772964
spea2-train-ticket-bytime-3600000,IGD,0.438825917119889
spea2-train-ticket-bytime-3600000,EP,0.1994047619047619
spea2-train-ticket-bytime-3600000,HV,0.6273498284180345
spea2-train-ticket-bytime-3600000,GSPREAD,0.8156315342548687
spea2-train-ticket-bytime-3600000,SPREAD,0.5975763590495573
spea2-train-ticket-bytime-3600000,IGD+,0.050037579250772964
spea2-train-ticket-bytime-3600000,IGD,0.438825917119889
spea2-train-ticket-bytime-3600000,EP,0.1994047619047619
spea2-train-ticket-bytime-3600000,HV,0.6273498284180345
spea2-train-ticket-bytime-3600000,GSPREAD,0.8156315342548687
spea2-train-ticket-bytime-3600000,SPREAD,0.5975763590495573
spea2-train-ticket-bytime-3600000,IGD+,0.050037579250772964
spea2-train-ticket-bytime-3600000,IGD,0.438825917119889
spea2-train-ticket-bytime-3600000,EP,0.1994047619047619
spea2-train-ticket-bytime-3600000,HV,0.6273498284180345
spea2-train-ticket-bytime-3600000,GSPREAD,0.8156315342548687
