solID,operation,target,to,where
5,UMLCloneNode,container-seat,container-seat_esbdajzyxm,
5,UMLCloneNode,container-verification,container-verification_fykugchqkb,
5,UMLCloneNode,container-travel-plan,container-travel-plan_ziizwublos,
5,Move_Operation_New_Component_New_Node,updateUser,New-Component_vybemnlzrs,New-Node_lzowojsrdo
6,Move_Operation_New_Component_New_Node,generate,New-Component_ytueuovove,New-Node_yrkyrzzlmb
6,Move_Operation_New_Component_New_Node,login,New-Component_ketqutgvol,New-Node_ijbfqnvrws
6,UMLCloneNode,container-station,container-station_kdzurehdry,
6,Move_Operation_New_Component_New_Node,getByID,New-Component_rjwouyoqmn,New-Node_oqrpignjrc
8,UMLCloneNode,container-rebook,container-rebook_bxfzeattro,
8,Move_Operation_New_Component_New_Node,modify,New-Component_ukdngrohyv,New-Node_dzxbpzhrha
8,UMLCloneNode,container-login,container-login_vxeokqeyxn,
8,UMLCloneNode,container-admin-user,container-admin-user_awvfdjavxk,
16,Move_Operation_New_Component_New_Node,getByID,New-Component_kazlrpbaow,New-Node_hnonwcprse
16,Move_Operation_Component,updateUser,Ticket-info,
16,Move_Operation_New_Component_New_Node,rebook,New-Component_zsrmrwcadv,New-Node_lflolbnpnh
16,UMLCloneNode,container-login,container-login_dovdyvwpsn,
24,UMLCloneNode,container-seat,container-seat_esbdajzyxm,
24,UMLCloneNode,container-verification,container-verification_fykugchqkb,
24,UMLCloneNode,container-travel-plan,container-travel-plan_ziizwublos,
24,Move_Operation_New_Component_New_Node,updateUser,New-Component_vybemnlzrs,New-Node_lzowojsrdo
28,Move_Operation_New_Component_New_Node,modify,New-Component_pbivchhndz,New-Node_ujsyrrjgew
28,Move_Operation_Component,generate,Travel-plan,
28,Move_Operation_New_Component_New_Node,updateUser,New-Component_dvnrkvrfzu,New-Node_iktcrwxepo
28,UMLCloneNode,container-seat,container-seat_idkrazoeul,
40,Move_Component_New_Node,Station,New-Node_mrkrrpkdyo,
40,UMLCloneNode,container-rebook,container-rebook_ygfcrpvqna,
40,UMLCloneNode,container-sso,container-sso_juvncjplaz,
40,Move_Operation_New_Component_New_Node,verify,New-Component_rnkkxzvwjx,New-Node_nuhepjlbdn
52,Move_Component_New_Node,Station,New-Node_mrkrrpkdyo,
52,UMLCloneNode,container-rebook,container-rebook_ygfcrpvqna,
52,UMLCloneNode,container-sso,container-sso_juvncjplaz,
52,Move_Operation_New_Component_New_Node,verify,New-Component_rnkkxzvwjx,New-Node_nuhepjlbdn
60,Move_Operation_New_Component_New_Node,generate,New-Component_ytueuovove,New-Node_yrkyrzzlmb
60,Move_Operation_New_Component_New_Node,login,New-Component_ketqutgvol,New-Node_ijbfqnvrws
60,UMLCloneNode,container-station,container-station_kdzurehdry,
60,Move_Operation_New_Component_New_Node,getByID,New-Component_rjwouyoqmn,New-Node_oqrpignjrc
78,Move_Component_New_Node,Verification,New-Node_eajzroiama,
78,Move_Operation_Component,generate,Travel-plan,
78,Move_Operation_New_Component_New_Node,updateUser,New-Component_dvnrkvrfzu,New-Node_iktcrwxepo
78,UMLCloneNode,container-seat,container-seat_idkrazoeul,
94,Move_Component_New_Node,Route-plan,New-Node_wpifcvkdrt,
94,UMLCloneNode,container-verification,container-verification_fykugchqkb,
94,UMLCloneNode,container-travel-plan,container-travel-plan_ziizwublos,
94,Move_Operation_New_Component_New_Node,updateUser,New-Component_vybemnlzrs,New-Node_lzowojsrdo
98,UMLCloneNode,container-seat,container-seat_esbdajzyxm,
98,UMLCloneNode,container-verification,container-verification_fykugchqkb,
98,UMLCloneNode,container-travel-plan,container-travel-plan_ziizwublos,
98,Move_Operation_New_Component_New_Node,updateUser,New-Component_vybemnlzrs,New-Node_lzowojsrdo
108,Move_Operation_New_Component_New_Node,generate,New-Component_ytueuovove,New-Node_yrkyrzzlmb
108,Move_Operation_New_Component_New_Node,login,New-Component_ketqutgvol,New-Node_ijbfqnvrws
108,UMLCloneNode,container-station,container-station_kdzurehdry,
108,Move_Operation_New_Component_New_Node,getByID,New-Component_rjwouyoqmn,New-Node_oqrpignjrc
110,Move_Operation_Component,login,Ticket-info,
110,Move_Operation_New_Component_New_Node,modify,New-Component_ukdngrohyv,New-Node_dzxbpzhrha
110,UMLCloneNode,container-login,container-login_vxeokqeyxn,
110,UMLCloneNode,container-admin-user,container-admin-user_awvfdjavxk,
114,Move_Operation_New_Component_New_Node,modify,New-Component_pbivchhndz,New-Node_ujsyrrjgew
114,Move_Operation_Component,generate,Travel-plan,
114,Move_Operation_New_Component_New_Node,updateUser,New-Component_dvnrkvrfzu,New-Node_iktcrwxepo
114,UMLCloneNode,container-seat,container-seat_idkrazoeul,
120,Move_Operation_Component,generate,Travel-plan,
120,Move_Operation_New_Component_New_Node,modify,New-Component_ukdngrohyv,New-Node_dzxbpzhrha
120,UMLCloneNode,container-login,container-login_vxeokqeyxn,
120,UMLCloneNode,container-admin-user,container-admin-user_awvfdjavxk,
